Feature,p-value
age,2.526246043018418e-07
male,4.725039305816433e-32
bmi,9.26895861395075e-55
caucasian,0.9444805296640522
aframer,0.0024180828911961405
asian,1.2376875518567447e-14
csamer,3.2651346696419496e-20
other,0.03711467913841404
medhx_hbp,1.9025440678263766e-09
medhx_cad,0.006713491910043076
medhx_heart_fail,0.03416245512046408
medhx_stroke,0.576181328508927
medhx_ldl,0.0004690560148236361
medhx_dm,0.037919021101170666
medhx_afib,0.6321901502583569
loud_snore,1.3686009505576778e-39
gasping,1.703193675332009e-16
choke,6.761623291463323e-25
map_index,
